kysimus,kood,vastus,vastus_lyhike,
K22_peamised_valjakutsed,6,Keerukad sorteerimisjuhendid,Keerukad sorteerimisjuhendid,
K22_peamised_valjakutsed,7,Muu,Muu,
K23_kasutuskolbmatud_tekstiilid,1,Rõivakonteineritesse,Rõivakonteiner,
K23_kasutuskolbmatud_tekstiilid,2,Panen segaolmejäätme prügikonteinerisse,Segaolmejäätmete konteiner,
K23_kasutuskolbmatud_tekstiilid,3,Viin eraldi jäätmejaama,Jäätmejaam,
K23_kasutuskolbmatud_tekstiilid,4,Põletan kodus,Põletamine (kodus),
K23_kasutuskolbmatud_tekstiilid,5,Matan,Matmine,
K23_kasutuskolbmatud_tekstiilid,6,"Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas",Ei tea (kuna ei vastuta),
K23_kasutuskolbmatud_tekstiilid,7,Muu,Muu,
K25_loobumisel_oluline,1,Vastuvõtva organisatsiooni läbipaistvus,,
K25_loobumisel_oluline,2,Rõivastest loobumisel saadav isiklik kasu (nt sooduskupong),,
K25_loobumisel_oluline,3,Heategevuslik aspekt,,
K25_loobumisel_oluline,4,Rõivale on tagatud uus elu,,
K25_loobumisel_oluline,5,Ese läheb re-disainimisele,,
K25_loobumisel_oluline,6,Mind ei huvita eseme edasine saatus,,
K25_loobumisel_oluline,7,Muu,,
K26_korduskasutuseks_sobimatud_tekstiilid,1,Jah,Jah,
K26_korduskasutuseks_sobimatud_tekstiilid,2,Olen rõiva seisukorras kahelnud ja seetõttu viinud siiski konteinerisse,"Olen rõiva seisukorras kahelnud, seetõttu viinud konteinerisse",
K26_korduskasutuseks_sobimatud_tekstiilid,3,Ei,Ei,
K28_riikliku_juhise_selgus,1,Täiesti arusaamatu,Täiesti arusaamatu,5
K28_riikliku_juhise_selgus,2,Osaliselt arusaamatu,Osaliselt arusaamatu,4
K28_riikliku_juhise_selgus,3,Osaliselt arusaadav,Osaliselt arusaadav,3
K28_riikliku_juhise_selgus,4,Täiesti arusaadav,Täiesti arusaadav,2
K28_riikliku_juhise_selgus,5,Ei ole sellega kursis/ei tea,Ei ole kursis/ei tea,1
K29_sobiv_kogumisviis,1,Püsivad kogumispunktid linnas,,
K29_sobiv_kogumisviis,2,Püsivad kogumispunktid kohalikus jäätmejaamas,,
K29_sobiv_kogumisviis,3,Kogumispunktid kaubanduspindadel,,
