;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
133;Panen segaolmejäätme prügikonteinerisse, Kasutan kaltsuna;0;1;0;0;0;0;1;Kasutan kaltsuna
134;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
135;Rõivakonteineritesse;1;0;0;0;0;0;0;
136;H&Mi kogumiskasti (kirjas et võib viia igasuguses seisukorras riideesemeid);0;0;0;0;0;0;1;H&Mi kogumiskasti (kirjas et võib viia igasuguses seisukorras riideesemeid)
137;Rõivakonteineritesse;1;0;0;0;0;0;0;
138;H&M kauplused;0;0;0;0;0;0;1;H&M kauplused
139;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
140;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
141;Viin H&Mi kogumiskasti, kus võetakse vastu igas seisukorras tekstiile;0;0;0;0;0;0;1;Viin H&Mi kogumiskasti,kus võetakse vastu igas seisukorras tekstiile
142;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
143;Pole kokku puutunud kasutuskõlbmatute riietega. ;0;0;0;0;0;0;1;Pole kokku puutunud kasutuskõlbmatute riietega.
144;H&M tekstiilikonteinerid;0;0;0;0;0;0;1;H&M tekstiilikonteinerid
145;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
146;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
147;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse, Annan pojale rattaremondil vajalike puhastuskaltsudena;1;1;0;0;0;0;1;Annan pojale rattaremondil vajalike puhastuskaltsudena
148;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
149;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
150;Põletan kodus, Taaskasutan erinevate projektide jaoks;0;0;0;1;0;0;1;Taaskasutan erinevate projektide jaoks
151;Panen segaolmejäätme prügikonteinerisse, Teen kaltsud;0;1;0;0;0;0;1;Teen kaltsud
152;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
153;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
154;Rõivakonteineritesse;1;0;0;0;0;0;0;
155;Panen olmejäätme prügikonteinerisse, Tekstiilitakso;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Tekstiilitakso
156;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
157;Rõivakonteineritesse, Põletan kodus;1;0;0;1;0;0;0;
158;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
159;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
160;Rõivakonteineritesse;1;0;0;0;0;0;0;
161;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
162;Rõivakonteineritesse;1;0;0;0;0;0;0;
163;Rõivakonteineritesse;1;0;0;0;0;0;0;
164;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
165;Rõivakonteineritesse;1;0;0;0;0;0;0;
166;Rõivakonteineritesse;1;0;0;0;0;0;0;
167;Rõivakonteineritesse;1;0;0;0;0;0;0;
168;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
169;Rõivakonteineritesse;1;0;0;0;0;0;0;
170;Rõivakonteineritesse;1;0;0;0;0;0;0;
171;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
172;Rõivakonteineritesse;1;0;0;0;0;0;0;
173;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
174;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
175;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
176;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
177;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
178;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
179;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
180;Rõivakonteineritesse;1;0;0;0;0;0;0;
181;Matan;0;0;0;0;1;0;0;
182;Põletan kodus, Matan, Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;1;1;1;0;
183;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
184;Rõivakonteineritesse, Mul polegi kasutuskõlbmatuid...Kõik müün teise ringi või lähevad riide konteineritesse..;1;0;0;0;0;0;1;Mul polegi kasutuskõlbmatuid...Kõik müün teise ringi või lähevad riide konteineritesse..
185;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
186;Kasutan maakodus kaltsuna ja siis põletan;0;0;0;0;0;0;1;Kasutan maakodus kaltsuna ja siis põletan
187;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
188;Rõivakonteineritesse;1;0;0;0;0;0;0;
189;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
190;Rõivakonteineritesse;1;0;0;0;0;0;0;
191;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
192;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
193;Panen segaolmejäätme prügikonteinerisse, Panen kõrvale, kuni mõtlen kas ja mida nendega teha veel annab;0;1;0;0;0;0;1;Panen kõrvale,kuni mõtlen kas ja mida nendega teha veel annab
194;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
195;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
196;Panen olmejäätme prügikonteinerisse, Kasutan kaltsuks ja siis viskan olmesse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Kasutan kaltsuks ja siis viskan olmesse
197;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
198;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
199;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
200;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
201;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
202;Viin HM kogumiskastidesse;0;0;0;0;0;0;1;Viin HM kogumiskastidesse
203;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
204;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
205;Panen segaolmejäätme prügikonteinerisse, Põletan kodus;0;1;0;1;0;0;0;
206;Rõivakonteineritesse;1;0;0;0;0;0;0;
207;Panen segaolmejäätme prügikonteinerisse, töötlen ümber;0;1;0;0;0;0;1;töötlen ümber
208;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama, Põletan kodus, vt. eespool ka vastust;0;1;1;1;0;0;1;vt. eespool ka vastust
209;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
210;Panen segaolmejäätme prügikonteinerisse, Põletan kodus, Ei tea, et Tapa vallas oleks ühtegi rõivaste konteinerit, lähim asub umbes 50 km;0;1;0;1;0;0;1;Ei tea,et Tapa vallas oleks ühtegi rõivaste konteinerit,lähim asub umbes 50 km
211;Rõivakonteineritesse;1;0;0;0;0;0;0;
212;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse, Põletan kodus;1;1;0;1;0;0;0;
213;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
214;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
215;Rõivakonteineritesse;1;0;0;0;0;0;0;
216;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
217;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
218;Panen segaolmejäätme prügikonteinerisse, Põletan kodus;0;1;0;1;0;0;0;
219;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
220;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
221;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
222;Rõivakonteineritesse;1;0;0;0;0;0;0;
223;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
224;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
225;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
226;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
227;Põletan kodus, Matan, ma kasutan asja lõpuni, st muudan tema funktsiooni, kuni on veel midagi muuta. lõpp lähtub viimase kasutamise kohast: näiteks värvised või õlised puhastuslapid lähevad ohtlike jäätmete hulka ja looduslikust materjalist liiga lagunenud asjad lõikan veel rohkem katki  ja lähevad multšiks, sest on lagunemisvõimekusega. Sünteetikat on ülivähe.;0;0;0;1;1;0;1;ma kasutan asja lõpuni,st muudan tema funktsiooni,kuni on veel midagi muuta. lõpp lähtub viimase kasutamise kohast: näiteks värvised või õlised puhastuslapid lähevad ohtlike jäätmete hulka ja looduslikust materjalist liiga lagunenud asjad lõikan veel rohkem katki  ja lähevad multšiks,sest on lagunemisvõimekusega. Sünteetikat on ülivähe.
228;Rõivakonteineritesse, Põletan kodus, ;1;0;0;1;0;0;0;
229;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
230;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
231;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
232;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse, Põletan kodus;1;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
233;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
234;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
235;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
236;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
237;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
238;Rõivakonteineritesse, Põletan kodus;1;0;0;1;0;0;0;
239;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
240;Rõivakonteineritesse;1;0;0;0;0;0;0;
241;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
242;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
243;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
244;Rõivakonteineritesse;1;0;0;0;0;0;0;
245;Rõivakonteineritesse;1;0;0;0;0;0;0;
246;Põletan kodus;0;0;0;1;0;0;0;
247;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
248;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
249;Rõivakonteineritesse;1;0;0;0;0;0;0;
250;Rõivakonteineritesse;1;0;0;0;0;0;0;
251;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
252;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
253;Rõivakonteineritesse;1;0;0;0;0;0;0;
254;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
255;Rõivakonteineritesse;1;0;0;0;0;0;0;
256;Rõivakonteineritesse;1;0;0;0;0;0;0;
257;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
258;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
259;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
260;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
261;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
262;Rõivakonteineritesse;1;0;0;0;0;0;0;
263;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
264;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
265;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
266;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
267;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
268;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
269;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
270;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
271;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
272;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
273;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
274;Panen olmejäätme prügikonteinerisse, Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;1;Panen olmejäätme prügikonteinerisse
275;Rõivakonteineritesse;1;0;0;0;0;0;0;
276;Põletan kodus;0;0;0;1;0;0;0;
277;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
278;Põletan kodus;0;0;0;1;0;0;0;
279;Rõivakonteineritesse;1;0;0;0;0;0;0;
280;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
281;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
282;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
283;Rõivakonteineritesse;1;0;0;0;0;0;0;
284;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
285;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
286;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
287;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
288;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
289;Rõivakonteineritesse;1;0;0;0;0;0;0;
290;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
291;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
292;Rõivakonteineritesse;1;0;0;0;0;0;0;
293;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
294;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
295;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
296;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
297;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
298;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
299;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
300;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
301;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
302;Rõivakonteineritesse;1;0;0;0;0;0;0;
303;Rõivakonteineritesse;1;0;0;0;0;0;0;
304;Rõivakonteineritesse;1;0;0;0;0;0;0;
305;Põletan kodus;0;0;0;1;0;0;0;
306;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
307;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
308;Rõivakonteineritesse;1;0;0;0;0;0;0;
309;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
310;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
311;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas, Lõikan puhastuslappideks ;0;0;0;0;0;1;1;Lõikan puhastuslappideks
312;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
313;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
314;Enamasti kaltsuks garaaži;0;0;0;0;0;0;1;Enamasti kaltsuks garaaži
315;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
316;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
317;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
318;Rõivakonteineritesse, Põletan kodus;1;0;0;1;0;0;0;
319;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
320;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
321;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
322;Põletan kodus, Matan;0;0;0;1;1;0;0;
323;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
324;Rõivakonteineritesse;1;0;0;0;0;0;0;
325;Rõivakonteineritesse;1;0;0;0;0;0;0;
326;Rõivakonteineritesse;1;0;0;0;0;0;0;
327;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse, Põletan kodus;1;1;0;1;0;0;0;
328;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
329;Rõivakonteineritesse;1;0;0;0;0;0;0;
330;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
331;Rõivakonteineritesse;1;0;0;0;0;0;0;
332;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
333;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
334;Rõivakonteineritesse;1;0;0;0;0;0;0;
335;Rõivakonteineritesse;1;0;0;0;0;0;0;
336;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
337;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
338;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
339;Rõivakonteineritesse;1;0;0;0;0;0;0;
340;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
341;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
342;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
343;Panen segaolmejäätme prügikonteinerisse, Põletan kodus, segaolmesse ainult siis, kui on väga määrdunud (ehk on kaltsuna juba oma aja ära elanud);0;1;0;1;0;0;1;segaolmesse ainult siis,kui on väga määrdunud (ehk on kaltsuna juba oma aja ära elanud)
344;Põletan kodus;0;0;0;1;0;0;0;
345;Põletan kodus;0;0;0;1;0;0;0;
346;Rõivakonteineritesse;1;0;0;0;0;0;0;
347;Olmejäätmesse;0;0;0;0;0;0;1;Olmejäätmesse
348;Olmejäätmesse;0;0;0;0;0;0;1;Olmejäätmesse
349;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
350;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
351;Rõivakonteineritesse;1;0;0;0;0;0;0;
352;Panen olmejäätme prügikonteinerisse, Jäätmejaama andmiseks peab maksma peale, mistõttu seda varianti ei kasuta;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Jäätmejaama andmiseks peab maksma peale,mistõttu seda varianti ei kasuta
353;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
354;Panen olmejäätme prügikonteinerisse, Põletan kodus, mul polegi väga täiesti kõlbmatuid tekstiile;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse,mul polegi väga täiesti kõlbmatuid tekstiile
355;Rõivakonteineritesse;1;0;0;0;0;0;0;
356;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
357;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
358;Rõivakonteineritesse;1;0;0;0;0;0;0;
359;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
360;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
361;Rõivakonteineritesse;1;0;0;0;0;0;0;
362;Matan;0;0;0;0;1;0;0;
363;Ema tegeleb sellega;0;0;0;0;0;0;1;Ema tegeleb sellega
364;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
365;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
366;Rõivakonteineritesse;1;0;0;0;0;0;0;
367;Rõivakonteineritesse;1;0;0;0;0;0;0;
368;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
369;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
370;Rõivakonteineritesse, Olme puhastuslappideks puuvillased riidejäägid;1;0;0;0;0;0;1;Olme puhastuslappideks puuvillased riidejäägid
371;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
372;Rõivakonteineritesse;1;0;0;0;0;0;0;
373;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama, Põletan kodus;0;1;1;1;0;0;0;
374;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
375;Õpetajana kasutan ka ainetundides  tekstiilijääke näidistena, lapitehnikas ka  väiksemate vaiba tegemiseks;0;0;0;0;0;0;1;Õpetajana kasutan ka ainetundides  tekstiilijääke näidistena,lapitehnikas ka  väiksemate vaiba tegemiseks
376;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
377;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
378;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
379;Viin eraldi jäätmejaama, Lähevad kasutusele ja maal, pòrandalappidena vms. Olen viinud ja loomade varjupaika kui veel siiski puhtad v pole nii ribadeks et midagi sealt kasutada ei saa;0;0;1;0;0;0;1;Lähevad kasutusele ja maal,pòrandalappidena vms. Olen viinud ja loomade varjupaika kui veel siiski puhtad v pole nii ribadeks et midagi sealt kasutada ei saa
380;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
381;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
382;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
383;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
384;Rõivakonteineritesse;1;0;0;0;0;0;0;
385;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse, Kasutan puhastuslappidena;1;1;0;0;0;0;1;Kasutan puhastuslappidena
386;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
387;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
388;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
389;Rõivakonteineritesse;1;0;0;0;0;0;0;
390;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas, ;0;0;0;0;0;1;0;
391;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
392;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
393;Rõivakonteineritesse;1;0;0;0;0;0;0;
394;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
395;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
396;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
397;Rõivakonteineritesse, Panen segaolmejäätme prügikonteinerisse;1;1;0;0;0;0;0;
398;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
399;Panen olmejäätme prügikonteinerisse, Pehmed lähevad garaaži ;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Pehmed lähevad garaaži
400;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
401;Rõivakonteineritesse;1;0;0;0;0;0;0;
402;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
403;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
404;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama, Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;1;0;0;1;1;Panen olmejäätme prügikonteinerisse
405;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
406;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
407;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
408;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
409;Panen olmejäätme prügikonteinerisse, Varasemalt väga hullud olmesse (juhtub üliharva), nüüd uuendustega ei teagi, pole sel aastal veel kapituulutust teinud.;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse,Varasemalt väga hullud olmesse (juhtub üliharva),nüüd uuendustega ei teagi,pole sel aastal veel kapituulutust teinud.
410;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
411;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
412;Rõivakonteineritesse;1;0;0;0;0;0;0;
413;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
414;Tekstiilitaksosse;0;0;0;0;0;0;1;Tekstiilitaksosse
415;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
416;Rõivakonteineritesse, Panen olmejäätme prügikonteinerisse;1;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
417;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
418;Panen olmejäätme prügikonteinerisse;0;0;0;0;0;0;1;Panen olmejäätme prügikonteinerisse
