;K23_kasutuskolbmatud_tekstiilid;K23_kasutuskolbmatud_tekstiilid_1;K23_kasutuskolbmatud_tekstiilid_2;K23_kasutuskolbmatud_tekstiilid_3;K23_kasutuskolbmatud_tekstiilid_4;K23_kasutuskolbmatud_tekstiilid_5;K23_kasutuskolbmatud_tekstiilid_6;K23_kasutuskolbmatud_tekstiilid_7;K23_kasutuskolbmatud_tekstiilid_muu_tekst
622;Osaliselt kasutan lappide, kaltsudena.;0;0;0;0;0;0;1;Osaliselt kasutan lappide,kaltsudena.
623;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
624;Annan ära taas tootmise jaoks;0;0;0;0;0;0;1;Annan ära taas tootmise jaoks
625;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
626;Rõivakonteineritesse, Viin eraldi jäätmejaama;1;0;1;0;0;0;0;
627;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
628;Viin eraldi jäätmejaama;0;0;1;0;0;0;0;
629;Kasutan majapidamistöödel, nt lappidena vms;0;0;0;0;0;0;1;Kasutan majapidamistöödel,nt lappidena vms
630;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
631;Rõivakonteineritesse, Kasutan majapidamises muul otstarbel;1;0;0;0;0;0;1;Kasutan majapidamises muul otstarbel
632;Panen segaolmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;1;1;0;0;0;0;
633;Rõivakonteineritesse;1;0;0;0;0;0;0;
634;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas, ;0;0;0;0;0;1;0;
635;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
636;Panen olmejäätme prügikonteinerisse, Viin eraldi jäätmejaama;0;0;1;0;0;0;1;Panen olmejäätme prügikonteinerisse
637;Viin eraldi jäätmejaama, Kasutan koristuslappidena.;0;0;1;0;0;0;1;Kasutan koristuslappidena.
638;Panen olmejäätme prügikonteinerisse, Põletan kodus;0;0;0;1;0;0;1;Panen olmejäätme prügikonteinerisse
639;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
640;Ei tea, sest mina ei vastuta selle tegevuse eest enda leibkonnas;0;0;0;0;0;1;0;
641;Panen segaolmejäätme prügikonteinerisse;0;1;0;0;0;0;0;
